"Monthly Mean Avg Temperature for ANN ARBOR U OF MICH, MI",,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1986,24.6,25,38.4,50.3,60.5,67.7,73.7,67.8,65.8,52.8,36.8,30.4,49.5
1987,25.6,29.4,39.8,51,64,72,76,71.1,64.2,46.6,43.3,32.1,51.3
1988,22.9,22.1,36.4,48.7,62,71.1,76.4,74.2,63.2,45.8,41.1,28.9,49.4
1989,31.8,23.1,35.1,45.3,57.9,67.9,72.4,69.6,61.8,53,37.6,17.7,47.8
1990,33.1,30.2,39.2,49.3,56.6,68.1,72,69.9,63.6,52.1,43.2,31.5,50.7
1991,24.1,31.3,40.2,51.2,65.6,71.8,73.7,72.3,61.7,54.7,37.5,31,51.3
1992,27.1,30.5,35.2,46.5,58.8,64.8,68.5,66.5,61.8,49.7,38.4,31.7,48.3
1993,27.7,23.9,33.4,46.8,59.8,66.2,73.5,72.4,58.7,49.7,38.7,28.5,48.3
1994,16.5,22.8,36,50.5,57.5,70,72.3,68.3,64.8,53.1,44.2,33.9,49.2
1995,26.9,24.1,38,44.8,59.3,70.6,73.8,76.3,61.7,54.2,32.9,24.7,48.9
1996,23.7,25.7,30.2,44.8,56.7,70.1,69.9,72.5,63.3,51.8,33.5,30.2,47.7
1997,22.2,30.4,37.4,46.1,51.7,68.7,71.6,67.4,62.6,51.5,36.6,31.1,48.1
1998,31.8,35.6,38.2,50.3,65.5,68.8,73.2,72.9,68.2,54.3,43.6,35.5,53.2
1999,22.7,31.9,34.1,51,62.6,70.2,76.1,69.3,66,51.5,45.2,31.2,51
2000,24.1,32.4,43.3,48.3,61.7,68.6,69.1,70.2,62.9,M,39.5,18.7,49
2001,26.1,29,34,51,61.1,68.5,72.9,73.3,61.7,52.3,47.5,35,51
2002,32.4,32.6,34.5,49.4,55.1,71,76.1,72.5,68.5,50.1,38.5,28.6,50.8
2003,20.2,23,36,48.4,56.9,66.5,71.8,72.2,62.6,50.9,43.8,32,48.7
2004,19,28,40.3,51,61.7,67,71.2,68,67.4,53.3,42.2,28.6,49.8
2005,23.7,28.7,33.2,51.3,56.4,73.5,74.4,74.4,68.1,54,42.7,25.5,50.5
2006,34.9,29.4,37.6,52.3,59.9,68.1,74.6,72.4,61.6,49.4,42.1,36.4,51.6
2007,29.1,19.6,41.2,47.2,62.8,70.8,71.1,73.1,66.3,59,38.9,28.2,50.6
2008,28,24.3,33.6,51.8,57,69.9,72.6,71.2,65.5,50.3,38.5,26.1,49.1
2009,17.9,28.5,38.2,49.6,59.3,67.3,67.8,70,64.7,49.3,44.7,28.5,48.8
2010,24.6,27.4,42,54.3,61.9,70.5,75.3,74.3,64.2,54.8,41.4,25.2,51.3
2011,21.5,25.8,34.5,47.6,60.6,70.2,78.6,71.7,63.3,53.2,44.8,34.1,50.5
2012,30.2,32.8,50.7,49.2,65.2,71.4,78.9,72.1,63.9,51.7,39.6,34.8,53.4
2013,28.7,26.1,33.3,46,63.1,68.6,72.9,70.2,64.7,53.2,37.6,26.7,49.3
2014,17,19.4,29,48.9,60.7,69.7,68.8,70.8,63.2,52.1,35.4,33.3,47.4
2015,21.4,14.4,34.9,49,64.2,68,71.2,70.2,68.7,53.9,45.7,39.9,50.1
2016,26.7,31.3,43.1,46.9,60.2,70.5,75.3,75.5,68,56.3,46.2,28.3,52.4
2017,30.4,37.5,36.8,54.1,58.7,70.6,72.8,68,64.4,55.8,38.7,24.6,51
2018,23.6,29.3,33.5,41.4,64.6,69.2,72.1,72.8,66.3,50.7,34.4,32,49.2
2019,22.9,26.6,32.5,48.7,57.8,66.1,74.1,69.6,66.5,52,33.8,32.9,48.6
2020,30.9,28.6,40,45.1,57.3,68.2,74.9,70.7,61.9,49.4,44,31.6,50.2
2021,27.5,21.7,43.1,49.2,57.4,70.6,71.7,73.1,65.1,57.5,37.9,35.8,50.9
Mean,24,25.4,34.9,47.3,58.6,68.1,72.5,70.5,63.7,52,39.4,28.5,48.8
Max,35,37.5,50.7,54.3,66.6,74.3,78.9,76.3,69.7,62.1,47.5,39.9,54.8
,1932,2017,2012,2010,1962,1934,2012,1995,1881,1963,2001,2015,
Min,11.4,10.9,21.6,37.5,49.4,61.9,66.1,64.5,54.8,42.7,32.9,17.7,43.6
,1912,1885,1885,1907,1907,1916,1891,1883,1918,1925,1995,1989,
